landmark_id,label,n_available,n_sampled
138982,0,6272,80
126637,1,2231,80
20409,2,1758,80
83144,3,1741,80
113209,4,1135,80
177870,5,1088,80
194914,6,1073,80
149980,7,971,80
139894,8,966,80
1924,9,944,80
176528,10,920,80
9070,11,900,80
20120,12,888,80
46705,13,888,80
168098,14,888,80
161902,15,861,80
36748,16,839,80
120734,17,820,80
176018,18,820,80
10419,19,776,80
45428,20,757,80
14915,21,754,80
41648,22,742,80
165596,23,734,80
47378,24,731,80
187779,25,730,80
38482,26,704,80
40088,27,679,80
25093,28,663,80
162833,29,662,80
173511,30,656,80
189907,31,621,80
190822,32,614,80
76303,33,604,80
191292,34,600,80
109169,35,597,80
51856,36,576,80
192931,37,572,80
41808,38,570,80
107164,39,542,80
189811,40,540,80
101399,41,538,80
64792,42,531,80
80177,43,527,80
27190,44,520,80
152708,45,514,80
143710,46,508,80
31531,47,505,80
27,48,504,80
113838,49,503,80
85633,50,502,80
19605,51,492,80
28139,52,486,80
132969,53,485,80
115821,54,482,80
147897,55,479,80
73300,56,477,80
107801,57,474,80
80272,58,473,80
29794,59,463,80
171683,60,460,80
199450,61,459,80
137203,62,456,80
39865,63,452,80
31361,64,449,80
51272,65,437,80
165900,66,429,80
15445,67,428,80
190956,68,428,80
98993,69,427,80
201840,70,427,80
136302,71,426,80
70644,72,425,80
103899,73,423,80
28641,74,418,80
180901,75,413,80
195412,76,413,80
70088,77,409,80
194406,78,408,80
38494,79,402,80
172929,80,400,80
110153,81,398,80
44939,82,396,80
168106,83,394,80
177409,84,393,80
67406,85,390,80
75005,86,387,80
164191,87,386,80
20064,88,384,80
86869,89,381,80
125786,90,379,80
199506,91,376,80
127516,92,375,80
18392,93,368,80
193550,94,368,80
179959,95,367,80
102850,96,366,80
158818,97,366,80
6208,98,364,80
144036,99,364,80
21635,100,363,80
91274,101,361,80
90021,102,358,80
20102,103,356,80
126100,104,354,80
65068,105,352,80
108327,106,352,80
125425,107,352,80
183531,108,352,80
13471,109,351,80
158844,110,351,80
21703,111,350,80
47133,112,350,80
73211,113,350,80
13866,114,349,80
124455,115,349,80
133454,116,348,80
33992,117,347,80
39209,118,347,80
56827,119,347,80
48753,120,343,80
96663,121,343,80
163604,122,342,80
146497,123,339,80
41037,124,338,80
116124,125,337,80
113462,126,336,80
162569,127,335,80
73304,128,334,80
174181,129,334,80
43845,130,333,80
67929,131,333,80
25457,132,331,80
70716,133,331,80
139706,134,330,80
163227,135,328,80
31837,136,326,80
31898,137,326,80
120885,138,326,80
202814,139,326,80
33577,140,325,80
55219,141,324,80
69835,142,324,80
105496,143,324,80
26967,144,323,80
60730,145,323,80
84939,146,323,80
172056,147,323,80
57505,148,322,80
47880,149,321,80
87157,150,321,80
136093,151,321,80
178829,152,317,80
90966,153,316,80
156232,154,316,80
113636,155,315,80
114289,156,315,80
122418,157,315,80
90396,158,314,80
116255,159,314,80
65658,160,313,80
100631,161,313,80
124675,162,313,80
195562,163,313,80
199507,164,313,80
5170,165,312,80
21843,166,312,80
6138,167,311,80
57015,168,311,80
164862,169,311,80
112308,170,310,80
180759,171,310,80
33636,172,309,80
145015,173,309,80
171150,174,309,80
9673,175,308,80
60708,176,308,80
107323,177,308,80
143373,178,308,80
188999,179,308,80
42016,180,307,80
53170,181,307,80
174834,182,307,80
142644,183,306,80
190216,184,305,80
32338,185,304,80
184907,186,304,80
163179,187,303,80
27364,188,302,80
55350,189,302,80
100230,190,301,80
152003,191,301,80
57943,192,300,80
80147,193,300,80
120144,194,300,80
162042,195,300,80
42123,196,299,80
144201,197,299,80
169053,198,299,80
65818,199,298,80
88483,200,297,80
102904,201,297,80
160944,202,297,80
50798,203,296,80
179626,204,296,80
35628,205,295,80
94310,206,295,80
192235,207,294,80
150591,208,293,80
49712,209,292,80
55623,210,292,80
125831,211,291,80
138775,212,290,80
2733,213,289,80
21353,214,289,80
160964,215,289,80
5401,216,288,80
142147,217,288,80
151942,218,288,80
129191,219,287,80
18786,220,286,80
39938,221,286,80
31094,222,285,80
121873,223,285,80
26064,224,283,80
46268,225,282,80
109963,226,282,80
5004,227,281,80
23777,228,281,80
30048,229,281,80
176956,230,281,80
17716,231,280,80
43222,232,279,80
183170,233,279,80
82579,234,277,80
99759,235,277,80
61782,236,275,80
89794,237,275,80
128268,238,275,80
8330,239,274,80
115820,240,274,80
171435,241,274,80
186957,242,274,80
194521,243,273,80
4226,244,271,80
8351,245,271,80
41170,246,271,80
129781,247,271,80
174321,248,271,80
46500,249,270,80
98003,250,270,80
55780,251,268,80
62575,252,268,80
78791,253,268,80
102206,254,267,80
173767,255,267,80
193505,256,267,80
114565,257,266,80
162634,258,266,80
201061,259,266,80
49804,260,264,80
85807,261,263,80
46946,262,262,80
56935,263,262,80
91659,264,262,80
156045,265,262,80
31761,266,261,80
113750,267,261,80
162604,268,261,80
57107,269,260,80
72686,270,260,80
133563,271,260,80
15409,272,259,80
26012,273,259,80
134466,274,259,80
91059,275,258,80
10514,276,257,80
105294,277,257,80
110708,278,257,80
104605,279,256,80
105017,280,256,80
132215,281,256,80
190879,282,256,80
191001,283,256,80
94449,284,255,80
454,285,254,80
46047,286,254,80
154243,287,254,80
53185,288,253,80
66807,289,253,80
101940,290,253,80
124928,291,253,80
188787,292,253,80
47035,293,252,80
83631,294,252,80
113253,295,252,80
193164,296,252,80
158169,297,251,80
182098,298,251,80
129428,299,250,80
135601,300,250,80
167170,301,250,80
75930,302,249,80
147828,303,249,80
202085,304,249,80
123309,305,248,80
131176,306,248,80
145949,307,248,80
16658,308,247,80
148331,309,246,80
51699,310,245,80
158921,311,245,80
181631,312,245,80
1346,313,244,80
63334,314,244,80
6545,315,243,80
57330,316,243,80
116118,317,243,80
134235,318,243,80
139980,319,243,80
198711,320,243,80
93869,321,242,80
179380,322,242,80
60349,323,241,80
65906,324,240,80
145474,325,240,80
178973,326,240,80
110320,327,239,80
201041,328,239,80
69499,329,238,80
3705,330,237,80
5292,331,237,80
164580,332,237,80
164773,333,237,80
193938,334,237,80
11971,335,236,80
33021,336,236,80
101708,337,236,80
130039,338,236,80
190230,339,236,80
115836,340,235,80
175431,341,235,80
133226,342,234,80
163072,343,234,80
202886,344,234,80
27659,345,233,80
86751,346,232,80
134262,347,232,80
69038,348,231,80
122367,349,231,80
60144,350,230,80
86283,351,230,80
162403,352,230,80
182908,353,230,80
24852,354,229,80
35691,355,229,80
37789,356,229,80
38109,357,229,80
153890,358,229,80
39650,359,228,80
65199,360,228,80
135503,361,228,80
44743,362,227,80
140067,363,227,80
140841,364,227,80
108472,365,226,80
144654,366,226,80
171546,367,226,80
56808,368,225,80
72024,369,225,80
86441,370,225,80
99943,371,225,80
21603,372,224,80
121054,373,224,80
168879,374,224,80
98230,375,223,80
158966,376,223,80
