id,occlusion_ratio,n_detections,has_mask,cache_h,cache_w,orig_h,orig_w
1248fbcac99663e8,0.0,0,False,256,315,651,800
6708df7e9df5f413,0.0,0,False,256,332,617,800
77ba30ebf7991438,0.018026,1,True,288,256,800,710
b6840bf7734db821,0.0,0,False,256,341,601,800
c29882d3090accc4,0.0,0,False,256,325,631,800
d24f616a5399b285,0.0,0,False,256,326,628,800
f438187dadf16780,0.003825,3,True,288,256,800,711
f6612221eec504a9,0.061595,17,True,256,341,601,800
016135e16d072209,0.044096,3,True,298,256,800,687
04f0b3d969749465,0.0,0,False,256,317,646,800
12ba39223f886a86,0.0,0,False,256,341,601,800
1387fc12ffd3244c,0.008681,2,True,256,351,584,800
1e4c682efe12ac0a,0.0,0,False,256,331,618,800
1f71cc856275e659,0.026277,6,True,304,256,800,674
2a521e64152b75aa,0.046294,3,True,256,336,609,800
2ac3ad1e0d02cab9,0.0,0,False,256,318,645,800
2dfca2a0261b11c0,0.0,2,False,256,314,652,800
2f0547101544746c,0.0,3,False,281,256,800,728
30a7c173e6543e85,0.0,0,False,295,256,800,695
382be0b63803fbad,0.0,1,False,256,336,609,800
39be920f8713508e,0.0,0,False,291,256,800,704
3a6b554c469bda89,0.0,0,False,256,337,607,800
3d452136edd12cf9,0.0,0,False,280,256,800,732
3e73cf3db22c1e95,0.0,2,False,256,334,614,800
4ddd0f853259ee3a,0.0,1,False,256,336,610,800
4e58541305adcbcf,0.44766,39,True,256,381,537,800
50288c5a15f87c1a,0.091335,16,True,275,256,800,744
576e7cfc3d2ff72c,0.0,0,False,288,256,800,712
5c6df747528a0e14,0.0,1,False,256,332,617,800
5d92187a109a365f,0.0,0,False,256,343,597,800
60692651b448e16b,0.0,0,False,256,296,692,800
65c7721ba2aa511f,0.184129,22,True,256,299,686,800
695a9fd6f1b71992,0.0,0,False,256,352,582,800
6aed4e84c22b0f7b,0.0,0,False,256,355,577,800
6f410d50c463d0e2,0.0,0,False,256,332,616,800
70ba423081b3fbc0,0.0,0,False,256,337,608,800
714504f8ba589728,0.0,0,False,256,359,570,800
71b556bd494b2b5e,0.0,0,False,256,342,598,800
758f2dfa6a7b3f45,0.080695,6,True,256,339,605,800
7db4bee04db9e5b0,0.0,0,False,293,256,800,699
7f08fc381a3a1694,0.0,0,False,256,330,621,800
812c249e16b6a56f,0.0,0,False,256,330,621,800
82c5afb4ba474e78,0.0,0,False,256,358,572,800
83b8b3ac71f2a019,0.0,0,False,299,256,800,686
849c51323f436dd0,0.0,2,False,293,256,800,698
8fe5d93da16eaa0c,0.0,0,False,256,348,589,800
9c8c445ae551d02b,0.0,2,False,256,347,591,800
9d714ffb0760ded3,0.009239,4,True,256,356,576,800
ab61d8da0108a2b0,0.0,0,False,256,332,616,800
ac5ec267cb5dca03,0.0,1,False,309,256,800,662
ad9d9c4cf269fd0e,0.047178,3,True,284,256,800,720
b138b1cabf6fe324,0.0,0,False,256,341,600,800
b37ec99b13cd3cdf,0.0,0,False,256,330,621,800
b46b852a9cbbf2ee,0.0,0,False,256,304,673,800
bda86c9affd778bf,0.003296,5,True,256,333,615,800
bf72085dd64a1b84,0.0,2,False,256,311,658,800
c1448b43413315b8,0.010073,1,True,256,299,686,800
c48b86422cad7c58,0.0,0,False,277,256,800,740
c759b85a1d898169,0.0,2,False,256,341,601,800
c8fbd86a5aae5515,0.227937,4,True,256,341,600,800
cf5a2b8a08a5e5b3,0.0,1,False,290,256,800,707
d3462854043f6d3f,0.024233,3,True,256,329,622,800
d8d0563d43dc58ca,0.0,5,False,256,346,592,800
db11ddc6d14af3fa,0.0,0,False,256,319,642,800
e98b364d01acb3b4,0.0,0,False,256,300,683,800
ea103092d1d5c49f,0.007562,11,True,256,328,624,800
efee3ec29b3309f4,0.046762,5,True,256,312,656,800
f1007e9ec49d348d,0.0,0,False,256,332,617,800
f49d22566f41e2bc,0.0,0,False,281,256,800,729
f5f9c82a3d3c78cb,0.009583,7,True,256,342,599,800
f6f163a83680deab,0.265126,19,True,256,313,655,800
fe59790e075518f7,0.0,0,False,287,256,800,714
167e9b46e0aa89b2,0.0,0,False,256,349,586,800
39e1d239c70f3a54,0.169483,13,True,256,338,606,800
560e5504106f9849,0.0,2,False,286,256,800,716
773cf244ef120ef1,0.0,0,False,256,345,593,800
94b0b7aa8054fece,0.0,0,False,282,256,800,725
aa9ed77b8f3fa702,0.0,3,False,256,328,624,800
b993546d39c82327,0.128459,6,True,256,332,616,800
cb1b1e9d59923d9a,0.0,0,False,256,332,616,800
5a7c0f41b1beb91c,0.0,0,False,256,656,312,800
5e8e3c2ec5503be4,0.0,0,False,256,341,600,800
7acb4d8f2cd8bac8,0.015224,5,True,256,341,600,800
a7520574348ff54f,0.018019,52,True,256,341,600,800
ad121809b74fd23e,0.269371,22,True,256,341,600,799
e28da56547d6f2d2,0.0,0,False,256,341,600,800
e62fdbc5cbb27008,0.0,0,False,256,341,600,800
fa529fb1ca42163d,0.0,1,False,256,341,600,800
02bfb44bf2470fdd,0.053542,23,True,256,341,600,800
0962f9e184de5a5c,0.029326,6,True,256,341,600,800
0a5ebe0c62a7000b,0.0,1,False,256,656,312,800
0c4df1b33f00fd01,0.0,0,False,256,341,600,800
0c8b6da29adb44f8,0.042407,16,True,256,341,600,800
0fdd3fbdd0a2213f,0.0,0,False,256,341,600,800
144832dbda74f43f,0.0,0,False,256,656,312,800
1a0b889aa22d23f7,0.004628,1,True,256,341,600,800
1b123c00f22907e5,0.0,0,False,256,341,600,800
1c18806aebeeb48b,0.0,1,False,256,341,600,800
204a96a0cbd219f9,0.0,0,False,256,341,600,800
21b5d3af8c52da63,0.013701,3,True,256,341,600,800
24e19bb3ac4c651c,0.0,0,False,256,341,600,800
292b466a0fbe5b6f,0.0,0,False,256,341,600,800
29480aadabeafdf4,0.065158,7,True,256,341,600,800
3024f36923014383,0.0,20,False,256,341,600,800
3307009b37872778,0.0,0,False,256,341,600,800
