arm,epoch,train_loss,val_gap,val_top1,seconds
baseline,0,13.5344,0.2814,0.3653,370
baseline,1,8.5193,0.4829,0.5457,306
baseline,2,6.2292,0.5632,0.6098,305
baseline,3,4.885,0.6204,0.6627,310
baseline,4,3.9194,0.6268,0.6656,310
baseline,5,3.1125,0.6821,0.7147,308
baseline,6,2.4481,0.7036,0.7319,310
baseline,7,1.8592,0.7186,0.7454,309
baseline,8,1.3811,0.7387,0.7635,309
baseline,9,1.0102,0.7456,0.7681,312
baseline,10,0.7058,0.7425,0.766,314
baseline,11,0.513,0.7581,0.7784,313
baseline,12,0.3768,0.7657,0.7854,311
baseline,13,0.3094,0.7661,0.7867,311
baseline,14,0.2796,0.7662,0.7866,318
masked,0,13.6186,0.2476,0.345,423
masked,1,8.5633,0.479,0.5395,391
masked,2,6.26,0.5424,0.5985,388
masked,3,4.9302,0.6149,0.6595,386
masked,4,3.9459,0.647,0.6846,396
masked,5,3.1365,0.6605,0.6943,390
masked,6,2.4592,0.6909,0.7218,385
masked,7,1.8799,0.697,0.727,389
masked,8,1.4027,0.7237,0.7485,393
masked,9,1.018,0.7291,0.7541,391
masked,10,0.7203,0.7358,0.7606,393
masked,11,0.5268,0.7496,0.773,396
masked,12,0.3912,0.7507,0.7729,395
masked,13,0.3178,0.7482,0.7706,392
masked,14,0.2884,0.7495,0.7712,394
maskaug,0,13.4824,0.2647,0.3589,372
maskaug,1,8.5896,0.501,0.5586,366
maskaug,2,6.3087,0.5675,0.6161,361
maskaug,3,4.9904,0.5873,0.6345,361
maskaug,4,4.0332,0.6313,0.672,362
maskaug,5,3.1878,0.6733,0.706,363
maskaug,6,2.5149,0.6871,0.7186,365
maskaug,7,1.9181,0.7019,0.7299,361
maskaug,8,1.4287,0.7271,0.7514,355
maskaug,9,1.0484,0.7406,0.7642,353
maskaug,10,0.7474,0.7462,0.7692,349
maskaug,11,0.5447,0.7537,0.7746,349
maskaug,12,0.4078,0.7598,0.7804,347
maskaug,13,0.3333,0.7575,0.778,352
maskaug,14,0.3001,0.7603,0.7805,356
